time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-01-01 00:00:00,26,20.1,70,0,,30,11.2,,1011,,2
2025-01-01 01:00:00,26,20.1,70,0,,30,9.4,,1010,,2
2025-01-01 02:00:00,25,18.9,69,0,,30,9.4,,1009,,2
2025-01-01 03:00:00,25,20,74,0,,30,7.6,,1009,,2
2025-01-01 04:00:00,25,20,74,0,,10,5.4,,1009,,2
2025-01-01 05:00:00,24,19.1,74,0,,30,7.6,,1009,,2
2025-01-01 06:00:00,24,19.9,78,0,,20,7.6,,1010,,2
2025-01-01 07:00:00,24,19.9,78,0,,20,9.4,,1010,,3
2025-01-01 08:00:00,25,20,74,0,,20,11.2,,1011,,3
2025-01-01 09:00:00,26,21,74,0,,20,9.4,,1012,,3
2025-01-01 10:00:00,28,21.1,66,0,,10,9.4,,1011,,3
2025-01-01 11:00:00,29,22,66,0,,40,9.4,,1011,,3
2025-01-01 12:00:00,30,21.9,62,0,,10,5.4,,1010,,3
2025-01-01 13:00:00,30,21.9,62,0,,350,3.6,,1008,,3
2025-01-01 14:00:00,30,21.9,62,0,,16,3.6,,1008,,3
2025-01-01 15:00:00,31,22.1,59,0,,40,5.4,,1007,,3
2025-01-01 16:00:00,31,22.1,59,0,,50,7.6,,1007,,3
2025-01-01 17:00:00,30,23,66,0,,350,5.4,,1007,,3
2025-01-01 18:00:00,29,23,70,0,,290,7.6,,1008,,3
2025-01-01 19:00:00,28,22.9,74,0,,280,9.4,,1008,,3
2025-01-01 20:00:00,27,23,79,0,,250,5.4,,1009,,3
2025-01-01 21:00:00,27,23,79,0,,280,5.4,,1010,,3
2025-01-01 22:00:00,27,23,79,0,,310,9.4,,1010,,3
2025-01-01 23:00:00,26,23.1,84,0,,360,5.4,,1010,,3
2025-01-02 00:00:00,27,21.1,70,0,,40,11.2,,1010,,2
2025-01-02 01:00:00,26,21,74,0,,30,7.6,,1009,,2
2025-01-02 02:00:00,26,21,74,0,,10,7.6,,1009,,2
2025-01-02 03:00:00,25,21.1,79,0,,360,1.8,,1009,,2
2025-01-02 04:00:00,25,22.1,84,0,,340,3.6,,1009,,2
2025-01-02 05:00:00,25,21.1,79,0,,360,5.4,,1009,,2
2025-01-02 06:00:00,25,21.1,79,0,,350,3.6,,1009,,2
2025-01-02 07:00:00,25,21.1,79,0,,360,5.4,,1011,,2
2025-01-02 08:00:00,25,21.1,79,0,,330,7.6,,1011,,3
2025-01-02 09:00:00,27,21.1,70,0,,340,7.6,,1012,,3
2025-01-02 10:00:00,28,22.9,74,0,,340,3.6,,1011,,3
2025-01-02 11:00:00,29,23,70,0,,320,5.4,,1011,,3
2025-01-02 12:00:00,30,23,66,0,,330,11.2,,1009,,3
2025-01-02 13:00:00,30,23,66,0,,320,11.2,,1008,,3
2025-01-02 14:00:00,31,23.1,63,0,,270,11.2,,1008,,3
2025-01-02 15:00:00,31,23.1,63,0,,270,13,,1007,,3
2025-01-02 16:00:00,30,23,66,0,,280,14.8,,1008,,3
2025-01-02 17:00:00,29,23,70,0,,280,11.2,,1008,,3
2025-01-02 18:00:00,28,22.9,74,0.2,,280,7.6,,1008,,3
2025-01-02 19:00:00,28,22.9,74,0.2,,260,7.6,,1009,,3
2025-01-02 20:00:00,28,22.9,74,0.1,,280,5.4,,1010,,3
2025-01-02 21:00:00,28,22.9,74,0,,250,3.6,,1010,,3
2025-01-02 22:00:00,27,25,89,0,,120,14.8,,1010,,3
2025-01-02 23:00:00,27,24.1,84,0,,0,0,,1010,,3
2025-01-03 00:00:00,27,25,89,0,,331,1.8,,1010,,3
2025-01-03 01:00:00,27,23,79,0,,10,3.6,,1010.5,,3
2025-01-03 02:00:00,27,24.1,84,0,,20,5.4,,1008,,3
2025-01-03 03:00:00,26,22.1,79,0,,20,7.6,,1008,,3
2025-01-03 04:00:00,26,22.1,79,0,,20,9.4,,1009,,3
2025-01-03 05:00:00,26,21,74,0,,30,9.4,,1009,,3
2025-01-03 06:00:00,25,21.1,79,0,,40,5.4,,1010,,3
2025-01-03 07:00:00,25,21.1,79,0,,40,7.6,,1010,,3
2025-01-03 08:00:00,26,21,74,0,,30,11.2,,1012,,3
2025-01-03 09:00:00,28,21.1,66,0,,20,9.4,,1012,,3
2025-01-03 10:00:00,30,21.1,59,0,,20,11.2,,1011,,3
2025-01-03 11:00:00,31,22.1,59,0,,20,13,,1011,,7
2025-01-03 12:00:00,32,22.1,56,0,,40,7.6,,1010,,7
2025-01-03 13:00:00,32,22.1,56,0,,40,9.4,,1008,,7
2025-01-03 14:00:00,31,22.1,59,0,,340,13,,1008,,7
2025-01-03 15:00:00,32,22.1,56,2.8,,30,11.2,,1007,,7
2025-01-03 16:00:00,31,22.1,59,0.2,,50,9.4,,1008,,8
2025-01-03 17:00:00,31,20.9,55,0,,50,5.4,,1008,,8
