recorded_time,temperature,hour,minute,day_of_week,time_of_day,time_morning,time_afternoon,time_evening,time_night,temp_lag_1,temp_lag_2,temp_lag_3,temp_diff_1,temp_diff_2,temperature_scaled,temp_lag_1_scaled,temp_lag_2_scaled,temp_lag_3_scaled,temp_diff_1_scaled,temp_diff_2_scaled
2025-04-30 02:00:00,28.0,2,0,2,night,False,False,False,True,28.0,28.0,29.0,0.0,0.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.30000000000000027,0.4,0.5
2025-04-30 03:00:00,27.0,3,0,2,night,False,False,False,True,28.0,28.0,28.0,-1.0,-1.0,0.10000000000000009,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.2,0.25
2025-04-30 04:00:00,26.0,4,0,2,night,False,False,False,True,27.0,28.0,28.0,-1.0,0.0,0.0,0.10000000000000009,0.20000000000000018,0.20000000000000018,0.2,0.5
2025-04-30 05:00:00,26.0,5,0,2,morning,True,False,False,False,26.0,27.0,28.0,0.0,1.0,0.0,0.0,0.10000000000000009,0.20000000000000018,0.4,0.75
2025-04-30 06:00:00,26.0,6,0,2,morning,True,False,False,False,26.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000009,0.4,0.5
2025-04-30 07:00:00,27.0,7,0,2,morning,True,False,False,False,26.0,26.0,26.0,1.0,1.0,0.10000000000000009,0.0,0.0,0.0,0.6000000000000001,0.75
2025-04-30 08:00:00,30.0,8,0,2,morning,True,False,False,False,27.0,26.0,26.0,3.0,2.0,0.3999999999999999,0.10000000000000009,0.0,0.0,1.0,1.0
2025-04-30 09:00:00,32.0,9,0,2,morning,True,False,False,False,30.0,27.0,26.0,2.0,-1.0,0.6000000000000001,0.3999999999999999,0.10000000000000009,0.0,0.8,0.25
2025-04-30 10:00:00,33.0,10,0,2,morning,True,False,False,False,32.0,30.0,27.0,1.0,-1.0,0.7000000000000002,0.6000000000000001,0.3999999999999999,0.10000000000000009,0.6000000000000001,0.25
2025-04-30 11:00:00,34.0,11,0,2,morning,True,False,False,False,33.0,32.0,30.0,1.0,0.0,0.8000000000000003,0.7000000000000002,0.6000000000000001,0.3999999999999999,0.6000000000000001,0.5
2025-04-30 12:00:00,35.0,12,0,2,afternoon,False,True,False,False,34.0,33.0,32.0,1.0,0.0,0.8999999999999999,0.8000000000000003,0.7000000000000002,0.6000000000000001,0.6000000000000001,0.5
2025-04-30 13:00:00,35.0,13,0,2,afternoon,False,True,False,False,35.0,34.0,33.0,0.0,-1.0,0.8999999999999999,0.8999999999999999,0.8000000000000003,0.7000000000000002,0.4,0.25
2025-04-30 14:00:00,36.0,14,0,2,afternoon,False,True,False,False,35.0,35.0,34.0,1.0,1.0,1.0,0.8999999999999999,0.8999999999999999,0.8000000000000003,0.6000000000000001,0.75
2025-04-30 15:00:00,36.0,15,0,2,afternoon,False,True,False,False,36.0,35.0,35.0,0.0,-1.0,1.0,1.0,0.8999999999999999,0.8999999999999999,0.4,0.25
2025-04-30 16:00:00,34.0,16,0,2,afternoon,False,True,False,False,36.0,36.0,35.0,-2.0,-2.0,0.8000000000000003,1.0,1.0,0.8999999999999999,0.0,0.0
2025-04-30 17:00:00,33.0,17,0,2,evening,False,False,True,False,34.0,36.0,36.0,-1.0,1.0,0.7000000000000002,0.8000000000000003,1.0,1.0,0.2,0.75
2025-04-30 18:00:00,32.0,18,0,2,evening,False,False,True,False,33.0,34.0,36.0,-1.0,0.0,0.6000000000000001,0.7000000000000002,0.8000000000000003,1.0,0.2,0.5
2025-04-30 19:00:00,32.0,19,0,2,evening,False,False,True,False,32.0,33.0,34.0,0.0,1.0,0.6000000000000001,0.6000000000000001,0.7000000000000002,0.8000000000000003,0.4,0.75
2025-04-30 20:00:00,31.0,20,0,2,evening,False,False,True,False,32.0,32.0,33.0,-1.0,-1.0,0.5,0.6000000000000001,0.6000000000000001,0.7000000000000002,0.2,0.25
2025-04-30 21:00:00,30.0,21,0,2,night,False,False,False,True,31.0,32.0,32.0,-1.0,0.0,0.3999999999999999,0.5,0.6000000000000001,0.6000000000000001,0.2,0.5
2025-04-30 22:00:00,30.0,22,0,2,night,False,False,False,True,30.0,31.0,32.0,0.0,1.0,0.3999999999999999,0.3999999999999999,0.5,0.6000000000000001,0.4,0.75
2025-04-30 23:00:00,30.0,23,0,2,night,False,False,False,True,30.0,30.0,31.0,0.0,0.0,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.5,0.4,0.5
